"pair_id","annotation_family","weak_rationale","weakness_code","traceable_revision","evidence_pointer","boundary_note","reviewer_question"
"RT-001","Chronology","This is correct because it is a useful action.","missing_time_anchor","The fictional stem asks what happens first, so the rationale must identify the option that belongs before the later useful action.","first","Do not imply the later action is generally wrong.","Where does the explanation point to the requested time position?"
"RT-002","Chronology","The next step is obvious.","unsupported_sequence","The stem states that the initial check is complete; the rationale traces the selected option to the next unfinished step rather than assuming a new sequence.","initial check is complete","Do not invent an omitted prerequisite.","Which completed step establishes what can come next?"
"RT-003","Chronology","This should be done immediately.","qualifier_restated","The word immediately narrows the comparison to actions that address the stated present condition before follow-up actions.","immediately","Do not convert urgency in a fictional prompt into real-world emergency advice.","How does the rationale distinguish immediate from follow-up?"
"RT-004","Chronology","This option comes after the others.","no_order_evidence","The phrase after the record is updated supplies the order boundary; the revision should connect the option to that stated event.","after the record is updated","Do not create an extra event between the two stated steps.","What exact event marks the before-and-after boundary?"
"RT-005","Chronology","The final action is the best answer.","label_without_trace","Because the stem asks what is completed last, the explanation should identify the option that closes the stated sequence rather than one that begins it.","completed last","Do not claim the sequence is universal outside the fictional prompt.","Which wording makes this a closing step?"
"RT-006","Chronology","It happens later, so it is correct.","vague_time_relation","The stem says once the review is finished, which places the selected action after that named condition and not merely at an unspecified later time.","once the review is finished","Do not add a duration the stem does not provide.","What named condition must be satisfied first?"
"RT-007","Evidence source","The answer is supported by the facts.","unnamed_source","The rationale should name the written log as the source and show which recorded detail supports the distinction.","according to the written log","Do not treat the log as proof of an unstated cause.","Which source in the fictional stem supplies the evidence?"
"RT-008","Evidence source","Observation proves this choice.","overclaim_from_observation","The observation describes what was seen in the fictional example; it supports that description but does not prove why it occurred.","the observation notes","Do not infer causation from a descriptive observation.","Does the rationale separate description from cause?"
"RT-009","Evidence source","The definition makes this true.","definition_not_identified","The stated definition controls because the stem explicitly asks which example matches that definition; the rationale should quote or accurately paraphrase its criterion.","using the definition provided","Do not substitute a remembered definition from outside the prompt.","Which criterion from the provided definition is matched?"
"RT-010","Evidence source","The chart shows the answer.","data_feature_omitted","The fictional chart shows a change in level while the direction remains stable; the rationale must name the visible feature it uses.","the chart shows","Do not infer treatment effectiveness or causation.","What visible feature does the explanation actually use?"
"RT-011","Evidence source","The note confirms it.","ambiguous_document","The stem identifies the supervisor note as the relevant source, so the rationale should connect the selected wording to that note rather than to a different record.","the supervisor note states","Do not add permission beyond the note's stated scope.","Which document is authoritative within this fictional comparison?"
"RT-012","Evidence source","The numbers make this option correct.","calculation_not_shown","The rationale should state the two fictional values being compared and the operation requested before naming the result.","based on the two listed values","Do not claim the numbers establish a clinical conclusion.","Can a reviewer reproduce the comparison from the stated values?"
"RT-013","Qualifier scope","This is the correct answer.","qualifier_ignored","The stem asks for the best-supported option, so the rationale compares support in the given facts rather than claiming the option is universally correct.","best supported by the description","Do not turn relative support into certainty.","Does the explanation preserve the limited best-supported standard?"
"RT-014","Qualifier scope","This is the most direct action because it works.","criterion_substituted","Most direct asks for the option with the fewest unstated intermediate steps; the explanation should evaluate directness rather than effectiveness.","most direct","Do not claim that directness makes an action clinically preferable.","Which comparison criterion does the qualifier establish?"
"RT-015","Qualifier scope","The initial response is the answer.","restatement_only","Initial narrows the timeline; the rationale should identify why the selected option precedes the two follow-up options in the fictional sequence.","initial response","Do not supply a real-world response protocol.","What makes the option earlier than its neighbors?"
"RT-016","Qualifier scope","All the options apply except this one.","exception_logic_unexplained","Because the stem uses except, the rationale should show that three options share the stated feature and the selected option lacks it.","except","Do not label the selected option generally invalid.","What common feature do the unselected options share?"
"RT-017","Qualifier scope","This is primarily about documentation.","primary_not_compared","Primarily requires a dominant-feature comparison; the explanation should show why documentation is central while the other feature is secondary in the fictional wording.","primarily","Do not claim the secondary feature is absent.","Does the rationale compare dominant and secondary features?"
"RT-018","Qualifier scope","This option is least likely.","probability_without_basis","Least likely is comparative; the rationale must identify the stated fact that gives this option less support than each alternative.","least supported by the stated facts","Do not introduce real-world prevalence estimates.","What evidence supports the relative ranking?"
"RT-019","Assumption control","The learner probably forgot the rule.","invented_internal_state","The fictional stem reports an omitted step but gives no reason; the rationale should describe the omission without assigning an internal cause.","the stated step was omitted","Do not infer memory, motivation, or intent.","Which part of the explanation exceeds the stated evidence?"
"RT-020","Assumption control","A supervisor must have approved it.","invented_permission","No approval is stated, so the rationale should evaluate only the documented instruction and leave permission unresolved.","the documented instruction says","Do not fabricate authorization.","Does the rationale distinguish documented direction from assumed approval?"
"RT-021","Assumption control","The setting caused the difference.","causal_leap","The fictional comparison occurs in two settings, but the prompt does not isolate cause; the rationale may describe the difference without attributing it.","the two settings differ","Do not state causation from an uncontrolled comparison.","What alternative explanations remain unstated?"
"RT-022","Assumption control","The missing value must be zero.","missing_equals_zero","A blank field is not the same as a recorded zero; the rationale should mark the value as unavailable unless the stem defines blanks otherwise.","the field is blank","Do not manufacture numerical data.","Does the explanation preserve missingness?"
"RT-023","Assumption control","The same procedure was used both times.","unstated_consistency","The stem gives two results but does not state that every condition was identical; the rationale should avoid assuming procedural consistency.","two results are listed","Do not claim comparability beyond the supplied facts.","Which consistency condition would need to be stated?"
"RT-024","Assumption control","The later entry corrected the earlier one.","temporal_inference","Later publication does not by itself establish correction; the rationale should call it a later entry unless the stem explicitly labels it a correction.","the later entry","Do not infer revision status from date alone.","What wording would be required to call this a correction?"
"RT-025","Role boundary","The technician should change the plan.","unsupported_role_action","The fictional stem asks which option exceeds the stated role; independently changing the plan is identified as outside that boundary, not offered as real-world advice.","within the stated role","Do not prescribe a professional action.","Does the rationale explain the boundary without directing practice?"
"RT-026","Role boundary","The learner should ask the supervisor what to do.","guidance_substituted_for_analysis","The editorial task is to identify that the fictional facts do not supply authorization; the rationale should state that limit without turning into individualized supervisory guidance.","no authorization is stated","Do not provide case-specific direction.","Can the explanation remain analytical rather than prescriptive?"
"RT-027","Role boundary","This option is allowed after training.","training_assumed","Training is not stated in the fictional stem, so the rationale cannot use it as permission; it should compare only the described role and instruction.","the described role includes","Do not assume credentials or completed training.","Which qualification is stated rather than imagined?"
"RT-028","Role boundary","Documentation is always within scope.","absolute_scope_claim","The fictional stem defines a particular documentation task; the rationale should trace that task to the stated role without making a universal scope claim.","the stated documentation task","Do not generalize from one fictional example.","Does the explanation stay inside the described task?"
"RT-029","Role boundary","The supervisor is responsible for the result.","responsibility_overreach","The stem identifies who supplied an instruction, not who bears every form of responsibility; the rationale should preserve that narrower fact.","the instruction was supplied by","Do not make legal or employment claims.","What responsibility does the stem actually establish?"
"RT-030","Role boundary","The option is wrong because it requires supervision.","boundary_without_text","The rationale should point to the stem's explicit supervision condition and explain how the option falls outside it.","under the stated supervision condition","Do not create a supervision requirement not present in the prompt.","Which exact phrase establishes the boundary?"
