"record_id","signal_family","stem_signal","common_reading_error","audit_question","role_boundary_check","revision_move"
"SS-001","immediate_priority","first","Choosing a later useful action instead of the earliest required step","What must occur before every other plausible option?","Does the option stay within current training and authorization?","Make the two nearest options explicitly sequential"
"SS-002","immediate_priority","most immediate","Selecting the most comprehensive plan rather than the current response","Which option addresses the present moment without skipping a prerequisite?","Does the option assume authority not stated in the stem?","Remove background details that do not affect immediacy"
"SS-003","immediate_priority","initially","Treating initially as a synonym for eventually","Which action starts the sequence?","Would this action normally require clarification or supervision first?","Use one clear starting condition"
"SS-004","immediate_priority","at the outset","Preferring a detailed later procedure over an opening check","What information or condition must be established at the outset?","Is the option an observation or communication step rather than an independent plan change?","Separate opening checks from later implementation"
"SS-005","immediate_priority","right away","Reacting to urgency while ignoring role boundaries","Which response is both timely and role-appropriate?","Does urgency change who is authorized to decide?","State the urgency cue without implying unlimited authority"
"SS-006","immediate_priority","before proceeding","Continuing the workflow while planning to correct the issue later","What must be resolved before the workflow continues?","Is supervision or clarification required by the stated facts?","Name the blocked next step"
"SS-007","next_step","next","Choosing any later action that sounds useful","What is the single step immediately after the stated event?","Does the option add a new procedure that was never authorized?","Anchor the stem to one completed prior step"
"SS-008","next_step","then","Ignoring the event that the word then refers back to","What has already happened and what logically follows it?","Does the proposed follow-up remain inside the described role?","Place the reference event in the sentence immediately before then"
"SS-009","next_step","following","Confusing a follow-up with a simultaneous action","Which option depends on completion of the named event?","Is the action based on documented facts rather than inference?","Clarify whether actions are sequential or concurrent"
"SS-010","next_step","subsequently","Selecting the correct principle at the wrong point in time","What prerequisite makes this later action appropriate?","Would the person need additional direction before acting?","Include the prerequisite in the stem"
"SS-011","next_step","after completing","Re-performing the completed step instead of moving forward","Which choices duplicate work already described as complete?","Does the next step require reporting or documentation within policy?","Mark completed actions as complete only once"
"SS-012","next_step","once confirmed","Treating an unverified assumption as confirmed","What exact fact has been confirmed and what does it permit?","Who is authorized to make or confirm that determination?","Identify the source of confirmation"
"SS-013","before_after_boundary","before","Reversing two individually reasonable actions","Which option must precede the other?","Does the earlier option preserve appropriate supervision and scope?","Present the two actions as a deliberate near-neighbour pair"
"SS-014","before_after_boundary","after","Acting before the condition named by the stem is met","Which choice is premature until the stated condition occurs?","Is the condition verified by an authorized source?","State the condition in observable terms"
"SS-015","before_after_boundary","until","Treating a temporary boundary as a permanent prohibition","What action is paused and what event ends the pause?","Does the option invent permission that has not been given?","Name both the pause and the release condition"
"SS-016","before_after_boundary","while waiting","Doing nothing when a limited role-safe action remains possible","What can be done without crossing the pending decision boundary?","Which options require authorization that is still pending?","Distinguish safe preparation from implementation"
"SS-017","before_after_boundary","prior to","Overlooking a prerequisite because the later action is more familiar","What prerequisite is explicitly signaled?","Is the prerequisite a check communication or documentation step?","Move the prerequisite close to the requested action"
"SS-018","before_after_boundary","only after","Treating the restriction as optional advice","Which option violates the only-after condition?","Who supplies the required approval or information?","Make the restriction testable"
"SS-019","best_fit","best","Choosing the most detailed option instead of the option that fits all facts","Which option satisfies every controlling detail with the fewest assumptions?","Does any option require acting beyond the described role?","Remove extra detail that rewards verbosity"
"SS-020","best_fit","most appropriate","Selecting a generally correct statement that misses the scenario","Which fact makes one plausible choice fit better?","Does the chosen response respect training authorization and supervision?","Include one decisive scenario fact"
"SS-021","best_fit","most accurate","Preferring familiar wording over precise wording","Which option can be supported directly by the information given?","Does the option claim more certainty than the evidence allows?","Make the precision difference intentional"
"SS-022","best_fit","strongest reason","Choosing a true but secondary reason","Which reason directly controls the decision?","Does the reason rely on an unstated policy or authority?","Separate primary from supporting reasons"
"SS-023","best_fit","primary purpose","Listing several benefits instead of identifying the central purpose","Which option remains true if secondary benefits are removed?","Is the stated purpose consistent with the authorized role?","Delete incidental benefits from distractors"
"SS-024","best_fit","least appropriate","Forgetting that the stem asks for the exception or weakest fit","Which option fails a requirement that the others satisfy?","Does the rejected option cross a role or evidence boundary?","Visually emphasize the negative qualifier"
"SS-025","available_information","based on the information provided","Importing facts from a similar remembered example","Which claims are supported by the current stem only?","Does the option require a decision by someone not present in the facts?","Remove cues that invite outside assumptions"
"SS-026","available_information","given the current data","Treating limited data as proof of a broad conclusion","What is the narrowest defensible conclusion?","Is escalation or supervision more appropriate than independent interpretation?","State what the data do and do not show"
"SS-027","available_information","as observed","Replacing observation with interpretation","Which option describes what was directly observed?","Does the response distinguish recording from clinical interpretation?","Use observable fictional details"
"SS-028","available_information","documented","Relying on memory when the stem specifies a record","What does the documented source actually establish?","Is the option asking the learner to alter or merely consult the record?","Identify the document without including confidential data"
"SS-029","available_information","no additional details","Filling gaps with a preferred explanation","Which option adds the fewest unsupported assumptions?","Should the next step be clarification rather than invention?","Make the missing information intentional"
"SS-030","available_information","according to the written plan","Substituting personal preference for the stated source","Which choice aligns with the written source as described?","Does any change require supervisor direction?","Keep the fictional plan description general"
"SS-031","role_boundary","within the technician role","Choosing a plausible action that belongs to another role","Which option can be completed without exceeding the stated role?","Does the action require assessment design diagnosis or independent plan revision?","Contrast implementation with independent modification"
"SS-032","role_boundary","after supervisor direction","Treating earlier training as permission for an unstated change","What direction was provided and what remains outside it?","Does the option extend beyond the supervisor's described instruction?","Specify the scope of the fictional direction"
"SS-033","role_boundary","when uncertain","Guessing because one answer resembles prior practice","Which option obtains appropriate clarification?","Can the uncertainty be resolved without independent clinical judgment?","State the uncertainty instead of hiding it"
"SS-034","role_boundary","outside current training","Attempting the task because it seems simple","Which option preserves safety and scope while seeking support?","Does the choice acknowledge the training boundary?","Remove wording that rewards overconfidence"
"SS-035","role_boundary","confidential information","Selecting convenience over privacy limits","Which option uses only the minimum authorized information?","Is disclosure limited to the appropriate person and purpose?","Use fictional non-identifying details only"
"SS-036","role_boundary","unexpected discrepancy","Silently correcting or ignoring an inconsistency","Which option documents or clarifies the discrepancy without inventing a fix?","Who is authorized to resolve the discrepancy?","State the inconsistency without implying its cause"
